questions,domain
What are bruises?,"accident, first aid"
How do I clean a wound?,"accident, first aid"
What should I keep in my first aid kit?,"accident, first aid"
How do I apply plasters and other dressings?,"accident, first aid"
How do I apply a bandage?,"accident, first aid"
Does my cut need stitches?,"accident, first aid"
How do I apply butterfly stitches?,"accident, first aid"
How should I care for my stitches?,"accident, first aid"
Can I get my stitches wet in the bath or shower?,"accident, first aid"
How long will my stitches (sutures) take to dissolve?,"accident, first aid"
How do I care for a wound treated with skin glue?,"accident, first aid"
How do I take a temperature?,"accident, first aid"
How do I check my pulse?,"accident, first aid"
How do I check someone's pulse?,"accident, first aid"
How do I know if I've broken a bone?,"accident, first aid"
How should I care for my plaster cast?,"accident, first aid"
How should I dispose of used needles or sharps?,"accident, first aid"
What should I do if I injure myself with a used needle?,"accident, first aid"
What should I do after contact with someone else's blood or saliva?,"accident, first aid"
What should I do if someone is choking?,"accident, first aid"
When can I fly after surgery?,"accident, first aid"
How long should I wear compression stockings to improve my circulation?,"accident, first aid"
Do I need a tetanus jab (vaccine) after an accident or injury?,"accident, first aid"
What is a food allergy?,allergy
What are the symptoms of a food allergy?,allergy
How are food allergies diagnosed?,allergy
How are food allergies treated?,allergy
What do I do now?,allergy
What is anal cancer?,cancer
How common is anal cancer?,cancer
Who does anal cancer affect?,cancer
What are the risk factors for anal cancer?,cancer
What causes anal cancer?,cancer
What are the symptoms of anal cancer?,cancer
How is anal cancer diagnosed?,cancer
What are the treatments for anal cancer?,cancer
What are the complications or side effects of anal cancer treatment?,cancer
How can you prevent anal cancer?,cancer
What is the prognosis / outlook for patients who have anal cancer?,cancer
When should you contact your healthcare provider with concerns about anal cancer?,cancer
Where can you find help if you have anal cancer?,cancer
What is a brain tumor?,cancer
How common are brain tumors?,cancer
Who is affected by brain tumors?,cancer
What are the types of brain tumors?,cancer
What causes a brain tumor?,cancer
What are the symptoms of a brain tumor?,cancer
How is a brain tumor diagnosed?,cancer
What are the treatments for a brain tumor?,cancer
What are the complications associated with a brain tumor?,cancer
How can you prevent a brain tumor?,cancer
Who is at risk of developing a brain tumor?,cancer
What's the outlook for people with a brain tumor?,cancer
When should I see a healthcare provider about a possible brain tumor?,cancer
What questions should I ask my doctor?,cancer
What is cancer?,cancer
What is cancer staging?,cancer
What are the causes of cancer?,cancer
What are the symptoms of cancer?,cancer
How is cancer diagnosed?,cancer
What are the treatments for cancer?,cancer
What are the side effects of cancer treatments?,cancer
What happens after my cancer treatment ends?,cancer
What other resources are available to deal with cancer?,cancer
What is leukemia?,cancer
What is bone marrow?,cancer
How does leukemia develop? How does leukemia affect the body?,cancer
Are there different types of leukemia?,cancer
How common is leukemia?,cancer
What causes leukemia?,cancer
Who gets leukemia? Are certain people at higher risk for developing leukemia?,cancer
Does leukemia run in families? Can leukemia be inherited?,cancer
What are the symptoms of leukemia?,cancer
How is leukemia diagnosed?,cancer
How is leukemia treated?,cancer
What are the stages of leukemia treatment?,cancer
What outcome can I expect if I have a diagnosis of leukemia?,cancer
Can leukemia be cured?,cancer
How often will I need to see my healthcare team after treatment?,cancer
What questions should I ask my doctor and healthcare team after I’ve been diagnosed with leukemia?,cancer
Are there clinical trials for leukemia?,cancer
Which of the following test is not used to detect prostate cancer?,cancer
When do I need a fit note?,"caring, carers"
Can I get a fit note without seeing a GP?,"caring, carers"
Can I go back to work before the end date on my fit note?,"caring, carers"
Can I speak to a GP about someone else's health?,"caring, carers"
Can I pick up a prescription for someone else?,"caring, carers"
How long do babies carry their mother's immunity?,children's health
What should I do if I think my baby is allergic or intolerant to cows' milk?,children's health
How much salt do babies and children need?,children's health
How can I keep my baby safe during hot weather?,children's health
Can my baby go swimming before or after vaccinations?,children's health
How many calories does a child of 7 to 10 need?,children's health
Should my child drink alcohol?,children's health
Can I give my child painkillers?,children's health
Can I give my child paracetamol and ibuprofen at the same time?,children's health
Can I give my child paracetamol or ibuprofen with cough or cold medicines?,children's health
How old do you have to be to buy medicine?,children's health
Can I stay with my child in hospital?,children's health
How many calories do teenagers need?,children's health
What is a kidney stone?,condition
What are the most common types of kidney stones?,condition
How does a kidney stone pass through my urinary tract?,condition
How long does it take to form a kidney stone?,condition
"If I have multiple kidney stones, are they all made of the same substances?",condition
Who is most likely to experience kidney stones?,condition
What are the risk factors for developing kidney stones?,condition
What are the signs and symptoms of kidney stones?,condition
How are kidney stones diagnosed?,condition
How are kidney stones treated?,condition
How long does it take to pass a kidney stone?,condition
Does cranberry juice help with kidney stones?,condition
Does apple cider vinegar help with kidney stones?,condition
Does lemon juice help with kidney stones?,condition
How can kidney stones be prevented?,condition
Should I cut calcium out of my diet if I develop calcium oxalate kidney stones?,condition
What other things can I eat or drink to prevent kidney stones?,condition
Should I drink soda and coffee if I have kidney stones?,condition
What is the outlook for kidney stones?,condition
Can a large kidney stone cause an injury?,condition
How long does pain last after you pass a kidney stone?,condition
What are hemorrhoids?,condition
How common are hemorrhoids?,condition
